,u,dv,x,dx,theta,dtheta
199700,-3.531487,0,-0.942478,-0.422167,-0.489293,-1.402439
199740,-2.997946,0,-0.962808,-0.45599,-0.470187,-1.036585
199760,-2.859816,0,-0.972873,-0.471579,-0.462777,-0.97561
199780,-2.741607,0,-0.982331,-0.471704,-0.455681,-0.914634
199800,-2.631636,0,-0.991621,-0.466927,-0.448944,-0.853659
199820,-2.641644,0,-1.000508,-0.454146,-0.442171,-0.914634
199840,-2.756452,0,-1.009326,-0.439843,-0.434329,-1.097561
199860,-2.80106,0,-1.018448,-0.43213,-0.425533,-1.219512
199880,-2.884886,0,-1.027469,-0.428773,-0.415182,-1.402439
199900,-3.064361,0,-1.036322,-0.425839,-0.40281,-1.707317
199920,-3.064082,0,-1.045208,-0.425002,-0.388991,-1.829268
199940,-3.210422,0,-1.05433,-0.429778,-0.373356,-2.134146
199960,-3.285061,0,-1.063923,-0.433002,-0.355395,-2.378049
199980,-3.017333,0,-1.073954,-0.441959,-0.337106,-2.256098
200000,-2.86351,0,-1.083883,-0.454187,-0.319663,-2.256098
200020,-3.036713,0,-1.09351,-0.460647,-0.300511,-2.621951
200040,-2.815731,0,-1.102935,-0.463743,-0.280106,-2.560976
200060,-2.612592,0,-1.112225,-0.455418,-0.260394,-2.5
200080,-2.464338,0,-1.121077,-0.446589,-0.240462,-2.5
200100,-2.217104,0,-1.129627,-0.433244,-0.221443,-2.378049
200120,-1.976525,0,-1.137773,-0.419214,-0.203159,-2.256098
200140,-1.912115,0,-1.145144,-0.398423,-0.185061,-2.317073
200160,-1.952041,0,-1.15191,-0.374709,-0.165553,-2.5
200180,-1.713752,0,-1.158305,-0.351138,-0.145941,-2.378049
200200,-1.542047,0,-1.164229,-0.325871,-0.127496,-2.317073
200220,-1.320584,0,-1.169783,-0.301172,-0.109856,-2.195122
200240,-1.107251,0,-1.17463,-0.277591,-0.093373,-2.073171
200260,-0.95708,0,-1.17877,-0.252191,-0.077548,-2.012195
200280,-0.703917,0,-1.182305,-0.22482,-0.062432,-1.829268
200300,-0.464556,0,-1.185199,-0.195619,-0.048807,-1.646341
200320,-0.133721,0,-1.18732,-0.16335,-0.037247,-1.341463
200340,0.1757,0,-1.188599,-0.129821,-0.028252,-1.036585
200360,0.316586,0,-1.188936,-0.107256,-0.021,-0.914634
200380,0.400762,0,-1.188767,-0.087572,-0.014261,-0.853659
