Timestamp,Angular position,Angular velocity
10811,-3.427734375,-95.8806839
10822,-4.482421875,-105.46875
10832,-5.44921875,-96.6796875
10843,-6.416015625,-87.890625
10853,-7.294921875,-87.890625
10863,-8.0859375,-71.9105148
10874,-8.876953125,-79.1015625
10884,-9.580078125,-63.9204559
10895,-10.1953125,-61.5234375
10905,-10.81054688,-61.5234375
10915,-11.25,-39.9502831
10926,-11.6015625,-35.15625
10936,-11.86523438,-23.970171
10947,-12.04101563,-17.578125
10957,-12.12890625,-7.990057
10968,-12.12890625,0
10978,-11.953125,17.578125
10988,-11.77734375,15.980114
10999,-11.42578125,35.15625
11009,-10.98632813,39.9502831
11020,-10.546875,43.9453125
11030,-9.931640625,55.930397
11041,-9.228515625,70.3125
11051,-8.525390625,70.3125
11061,-7.734375,71.9105148
11072,-6.85546875,87.890625
11082,-5.80078125,95.8806839
11093,-4.921875,87.890625
11103,-3.8671875,95.8806839
11114,-2.900390625,96.6796875
11124,-1.845703125,105.46875
11134,-0.791015625,95.8806839
11145,0.3515625,114.2578125
11155,1.40625,95.8806839
11166,2.4609375,105.46875
11176,3.427734375,87.890625
11187,4.482421875,105.46875
11197,5.361328125,87.890625
11207,6.240234375,79.9005661
11218,7.119140625,87.890625
11228,7.91015625,71.9105148
11239,8.61328125,70.3125
11249,9.31640625,63.9204559
11260,9.84375,52.734375
11270,10.37109375,52.734375
11280,10.81054688,39.9502831
11291,11.07421875,26.3671875
11301,11.33789063,23.970171
11312,11.42578125,8.7890625
11322,11.51367188,7.990057
11333,11.42578125,-8.7890625
11343,11.33789063,-8.7890625
11353,11.07421875,-23.970171
11364,10.81054688,-26.3671875
11374,10.37109375,-39.9502831
11385,9.84375,-52.734375
11395,9.31640625,-52.734375
11406,8.701171875,-55.930397
11416,7.91015625,-79.1015625
11426,7.119140625,-71.9105148
11437,6.328125,-79.1015625
11447,5.361328125,-87.890625
11458,4.482421875,-87.890625
11468,3.515625,-96.6796875
11478,2.4609375,-95.8806839
11489,1.40625,-105.46875
11499,0.439453125,-87.890625
11510,-0.703125,-114.2578125
11520,-1.7578125,-95.8806839
11531,-2.8125,-105.46875
11541,-3.779296875,-96.6796875
11551,-4.833984375,-95.8806839
11562,-5.80078125,-96.6796875
11572,-6.6796875,-79.9005661
11583,-7.55859375,-87.890625
11593,-8.349609375,-71.9105148
11604,-9.140625,-79.1015625
11614,-9.755859375,-61.5234375
11624,-10.37109375,-55.930397
11635,-10.8984375,-52.734375
11645,-11.33789063,-39.9502831
11656,-11.6015625,-26.3671875
11666,-11.86523438,-23.970171
11677,-11.953125,-8.7890625
11687,-11.953125,0
11697,-11.953125,0
11708,-11.77734375,17.578125
11718,-11.42578125,31.960228
11729,-11.16210938,26.3671875
11739,-10.63476563,47.9403419
11750,-10.10742188,52.734375
11760,-9.4921875,61.5234375
11770,-8.7890625,63.9204559
11781,-7.998046875,79.1015625
11791,-7.20703125,71.9105148
11802,-6.328125,87.890625
11812,-5.361328125,87.890625
11823,-4.39453125,96.6796875
11833,-3.33984375,105.46875
11843,-2.373046875,87.890625
11854,-1.318359375,105.46875
11864,-0.263671875,95.8806839
11875,0.791015625,105.46875
11885,1.845703125,95.8806839
11896,2.900390625,105.46875
11906,3.8671875,96.6796875
11916,4.833984375,87.890625
11927,5.712890625,87.890625
11937,6.591796875,79.9005661
11948,7.3828125,79.1015625
11958,8.173828125,79.1015625
11969,8.7890625,55.930397
11979,9.404296875,61.5234375
11989,9.931640625,47.9403419
12000,10.37109375,43.9453125
12010,10.72265625,31.960228
12021,10.98632813,26.3671875
12031,11.25,26.3671875
12041,11.25,0
12052,11.25,0
12062,11.25,0
12073,10.98632813,-26.3671875
12083,10.81054688,-15.980114
12094,10.37109375,-43.9453125
12104,9.931640625,-43.9453125
12114,9.4921875,-39.9502831
12125,8.876953125,-61.5234375
12135,8.173828125,-63.9204559
12146,7.470703125,-70.3125
12156,6.591796875,-79.9005661
12167,5.80078125,-79.1015625
12177,4.833984375,-96.6796875
